-0.3071004,-0.1525,0.4218997
-0.3071003,-0.1525,0.4018996
-0.3071003,-0.1525,0.3818995
-0.3071003,-0.1525,0.3618994
-0.3071003,-0.1525,0.3418994
-0.3071003,-0.1525,0.3218993
-0.3071002,-0.1525,0.3018992
-0.3071002,-0.1525,0.2818992
-0.3071002,-0.1525,0.2618991
-0.3071002,-0.1525,0.241899
-0.3071002,-0.1525,0.2218989
-0.3071001,-0.1525,0.2018988
-0.3071001,-0.1525,0.1818988
-0.3071001,-0.1525,0.1618987
-0.3071001,-0.1525,0.1418987
-0.3071001,-0.1525,0.1218987
-0.3071001,-0.1525,0.1018987
-0.3071001,-0.1525,0.08189876
-0.3071,-0.1525,0.06189878
-0.3071,-0.1525,0.0418988
-0.3071,-0.1525,0.0218988
-0.3071,-0.1525,0.001898804
-0.3092251,-0.1481434,-0.01828119
-0.3160927,-0.132861,-0.03895617
-0.3261017,-0.105945,-0.06013118
-0.336352,-0.06658807,-0.08180612
-0.3425796,-0.01434716,-0.1039811
-0.3392,0.05009994,-0.1266561
-0.3196711,0.124004,-0.1498311
-0.2773892,0.2015485,-0.173506
-0.2072962,0.2731205,-0.197681
-0.1082196,0.3253538,-0.2223559
0.01436892,0.3425785,-0.2475309
0.1460005,0.3102424,-0.2732058
